# sample; mag1 in nT; mag2 in nT; grad in nT
7446469;43627.89554153929930;43689.55392914544063;-61.65838760614105
7446470;43638.34999536304531;43692.66306389858801;-54.31306853554395
7446471;43642.84705423538253;43694.01559418722172;-51.16853995184965
7446472;43645.75561073415884;43692.45867824656307;-46.70306751241388
7446473;43646.24847789741762;43691.85738950441009;-45.60891160697906
7446474;43645.23830880423338;43687.70706086142309;-42.46875205719331
7446475;43644.30984457695740;43686.54249687124684;-42.23265229427901
7446476;43642.49788414449722;43682.21251440591004;-39.71463026142361
7446477;43642.75921397229104;43682.71800965295552;-39.95879568067001
7446478;43644.21856916767865;43681.96990889011795;-37.75133972244313
7446479;43648.95297808390751;43687.10024538711150;-38.14726730320709
7446480;43646.53093130777415;43682.63676721200318;-36.10583590423587
7446481;43645.99265793182713;43682.75363296095020;-36.76097502912208
7446482;43647.98326716135489;43682.90057159174467;-34.91730443039158
7446483;43649.35725874632772;43684.98552236326213;-35.62826361692756
7446484;43052.21346046309191;43018.38355654822954;33.82990391487345
7446485;nan;nan;nan
7446486;nan;nan;nan
7446487;nan;nan;nan
7446488;nan;nan;nan
7446489;nan;nan;nan
7446490;nan;nan;nan
7446491;nan;nan;nan
7446492;nan;nan;nan
7446493;nan;nan;nan
7446494;43323.46168587824650;43674.91044915846578;-351.44876328022195
7446495;43492.78616384464840;43683.31146479432209;-190.52530094966934
7446496;43564.89554203830630;43680.92631023217109;-116.03076819386771
7446497;43593.31714609143091;43681.77036908861191;-88.45322299717824
7446498;43610.50240489256248;43681.39609899358766;-70.89369410102118
7446499;43624.82951828088699;43686.96789633765002;-62.13837805676287
7446500;43627.93927558307769;43682.38170629343949;-54.44243071035966
7446501;43630.94853438162681;43682.36346336369752;-51.41492898206864
7446502;43635.46758347332070;43682.52582598853041;-47.05824251519545
7446503;43638.66326654302975;43684.49447628263442;-45.83120973960823
7446504;43644.61249981531000;43687.25211048535857;-42.63961067004946
7446505;43647.69073813426803;43689.97434163397702;-42.28360349971408
7446506;43653.44493321449409;43693.12014457229816;-39.67521135781706
7446507;43654.40820577669365;43694.21844184633665;-39.81023606964063
7446508;43656.44619048239838;43694.02886211266741;-37.58267163027745
7446509;43651.89279251852713;43689.93037210259354;-38.03757958406067
7446510;43656.58257889768720;43692.63804756505851;-36.05546866736913
7446511;43657.49169868139870;43694.16275811884407;-36.67105943744290
7446512;43657.97287467361457;43692.73961885098106;-34.76674417737004
7446513;43656.51417864200630;43692.04669064378686;-35.53251200178991
7446514;43065.56009607737360;43018.93898271425860;46.62111336312000
7446515;nan;nan;nan
7446516;nan;nan;nan
7446517;nan;nan;nan
7446518;nan;nan;nan
7446519;nan;nan;nan
7446520;nan;nan;nan
7446521;nan;nan;nan
7446522;nan;nan;nan
7446523;nan;nan;nan
7446524;43322.80505928063940;43674.01828931882483;-351.21323003818247
7446525;43495.79663056647405;43686.22697219291877;-190.43034162644994
7446526;43575.75223536053090;43691.76410884406505;-116.01187348354149
